-;package_id;showcase_id
;artsmangfold;artsdatabanken-demo
;norsk-vegmuseum;norsk-vegmuseum-demo
;luftkvalitet;luftkvalitet-demo
;statistikk-sentralbyra;statistikk-sentralbyra-demo
;test;test-demo
;trafikkinformasjon;trafikkinformasjon-demo
;vegmeldinger;trafikkinformasjon-demo
;trafikkinformasjon;reisetider-demo
;trafikkskoler;trafikkskoler-demo
;godkjente-verksteder;finngodkjentverksted-demo
;kjoretoyopplysninger;enkeltkjoretoy-demo
;kjoretoyopplysninger;enkelttilhenger-demo
;kjoretoyopplysninger;smskjoretoy-demo
;nybilvelger;nybilvelger-demo
;transportloyver;transportloyver-vegkart
;trafikkstasjoner;trafikkstasjoner-demo
;kjoretoyopplysninger;kjoretoy-app
;vegmeldinger;trafikkmeldinger-mobil
;vegmeldinger;trafikkmeldinger-demo
;trafikkinformasjon;webkamera-demo
;nasjonal-vegdatabank;vegkart
;rasteplasser;rasteplasser-vegkart
;skredhendelser;skred-vegkart
;bomstasjoner;bomstasjoner-vegkart
;vilttiltak;vilttiltak-vegkart
;artsmangfold;arter-vegkart
;tunneler;tunneller-vegkart
;bruer;bruer-vegkart
;trafikkstasjoner;trafikkstasjoner-vegkart
;bruksklasser;bruksklasser-vegkart
;arsrapporter-nokkeltall;statistikk-sentralbyra-demo
